sample,trait,value,label
default,max_temp,255.0,degrees
default,min_temp,41.0,degrees
default,mean_temp,126.49154973253741,degrees
default,median_temp,118.0,degrees
default,thermal_frequencies,2.17846344677882,42.07
default,thermal_frequencies,1.4303434374757733,44.21
default,thermal_frequencies,1.4691061322583145,46.35
default,thermal_frequencies,1.3373129699976742,48.49
default,thermal_frequencies,1.387704473214978,50.63
default,thermal_frequencies,1.4303434374757733,52.77
default,thermal_frequencies,1.2210248856500505,54.910000000000004
default,thermal_frequencies,1.775331421040391,57.050000000000004
default,thermal_frequencies,1.1783859213892551,59.190000000000005
default,thermal_frequencies,1.213272346693542,61.330000000000005
default,thermal_frequencies,1.0776029149546478,63.470000000000006
default,thermal_frequencies,1.2675401193891,65.61000000000001
default,thermal_frequencies,1.1318706876502054,67.75
default,thermal_frequencies,1.1396232266067137,69.89
default,thermal_frequencies,1.7404449957361037,72.03
default,thermal_frequencies,1.3101790836498954,74.17
default,thermal_frequencies,1.205519807737034,76.31
default,thermal_frequencies,1.2791689278238623,78.45
default,thermal_frequencies,1.1628808434762385,80.59
default,thermal_frequencies,1.3411892394759284,82.73
default,thermal_frequencies,1.298550275215133,84.87
default,thermal_frequencies,1.9187533917357935,87.01
default,thermal_frequencies,1.2559113109543374,89.15
default,thermal_frequencies,1.2946740057368789,91.28999999999999
default,thermal_frequencies,1.2016435382587798,93.43
default,thermal_frequencies,1.2946740057368789,95.57
default,thermal_frequencies,1.2675401193891,97.71000000000001
default,thermal_frequencies,1.3140553531281496,99.85
default,thermal_frequencies,1.8877432359097606,101.99000000000001
default,thermal_frequencies,1.2559113109543374,104.13
default,thermal_frequencies,1.3838282037367238,106.27000000000001
default,thermal_frequencies,1.2597875804325915,108.41
default,thermal_frequencies,1.4187146290410109,110.55000000000001
default,thermal_frequencies,1.5039925575626019,112.69
default,thermal_frequencies,1.5039925575626019,114.83000000000001
default,thermal_frequencies,2.236607488952632,116.97
default,thermal_frequencies,1.4419722459105357,119.11000000000001
default,thermal_frequencies,1.3063028141716413,121.25
default,thermal_frequencies,1.2287774246065586,123.39000000000001
default,thermal_frequencies,1.298550275215133,125.53
default,thermal_frequencies,1.3373129699976742,127.67000000000002
default,thermal_frequencies,1.2520350414760835,129.81
default,thermal_frequencies,1.7675788820838825,131.95
default,thermal_frequencies,1.1745096519110008,134.09000000000003
default,thermal_frequencies,1.1202418792154432,136.23000000000002
default,thermal_frequencies,1.0272114117373439,138.37
default,thermal_frequencies,1.0388402201721063,140.51
default,thermal_frequencies,0.9419334832157532,142.65
default,thermal_frequencies,0.9419334832157532,144.79000000000002
default,thermal_frequencies,0.8954182494767036,146.93
default,thermal_frequencies,1.3721993953019616,149.07
default,thermal_frequencies,0.7636250872160633,151.20999999999998
default,thermal_frequencies,0.8295216683463835,153.35000000000002
default,thermal_frequencies,0.8101403209551128,155.49
default,thermal_frequencies,0.8295216683463835,157.63
default,thermal_frequencies,0.7946352430420963,159.76999999999998
default,thermal_frequencies,0.7287386619117762,161.91000000000003
default,thermal_frequencies,1.1900147298240173,164.05
default,thermal_frequencies,0.8644080936506706,166.19
default,thermal_frequencies,0.7985115125203505,168.32999999999998
default,thermal_frequencies,0.7868827040855879,170.47000000000003
default,thermal_frequencies,0.8295216683463835,172.61
default,thermal_frequencies,0.7364912008682843,174.75
default,thermal_frequencies,0.8372742073028917,176.89000000000001
default,thermal_frequencies,1.1706333824327466,179.03
default,thermal_frequencies,0.8372742073028917,181.17000000000002
default,thermal_frequencies,0.8256453988681294,183.31
default,thermal_frequencies,0.7946352430420963,185.45
default,thermal_frequencies,0.693852236607489,187.59
default,thermal_frequencies,0.7209861229552679,189.73000000000002
default,thermal_frequencies,0.5930692301728816,191.87
default,thermal_frequencies,0.9651911000852779,194.01
default,thermal_frequencies,0.6550895418249477,196.15
default,thermal_frequencies,0.4884099542600201,198.29000000000002
default,thermal_frequencies,0.5969454996511357,200.43
default,thermal_frequencies,0.45739979843398715,202.57
default,thermal_frequencies,0.5271726490425614,204.71
default,thermal_frequencies,0.4729048763470037,206.85000000000002
default,thermal_frequencies,0.6008217691293899,208.99
default,thermal_frequencies,0.3178540972168385,211.13
default,thermal_frequencies,0.2868439413908055,213.27
default,thermal_frequencies,0.34886425304287155,215.41000000000003
default,thermal_frequencies,0.2597100550430266,217.55
default,thermal_frequencies,0.23257616869524772,219.69
default,thermal_frequencies,0.2054422823474688,221.83
default,thermal_frequencies,0.36049306147763394,223.97000000000003
default,thermal_frequencies,0.2597100550430266,226.11
default,thermal_frequencies,0.2054422823474688,228.25
default,thermal_frequencies,0.302349019303822,230.39000000000001
default,thermal_frequencies,0.28296767191255134,232.53000000000003
default,thermal_frequencies,0.20156601286921466,234.67000000000002
default,thermal_frequencies,0.2635863245212807,236.81
default,thermal_frequencies,0.4070082952166835,238.95000000000002
default,thermal_frequencies,0.32560663617334673,241.09000000000003
default,thermal_frequencies,0.3643693309558881,243.23000000000002
default,thermal_frequencies,0.4263896426079541,245.37
default,thermal_frequencies,0.5426777269555779,247.51
default,thermal_frequencies,0.8992945189549578,249.65
default,thermal_frequencies,1.0853554539111558,251.79000000000002
default,thermal_frequencies,2.504070082952167,253.93
